Case ID,Activity,Timestamp
Andrés Castro,Oferta Aceptada,2025-11-01 08:30:00
Elena Álvarez,Oferta Aceptada,2025-11-01 14:15:00
Andrés Castro,Verificación Documental,2025-11-02 10:00:00
Valentina Sánchez,Oferta Aceptada,2025-11-02 11:45:00
Andrés Castro,Firma de Contrato,2025-11-04 09:30:00
Mateo Romero,Oferta Aceptada,2025-11-04 15:00:00
Andrés Castro,Solicitud IT (Cuentas/Hardware),2025-11-05 08:00:00
Elena Álvarez,Verificación Documental,2025-11-05 11:20:00
Lucía Hernández,Oferta Aceptada,2025-11-06 09:00:00
Valentina Sánchez,Verificación Documental,2025-11-06 14:30:00
Javier Pérez,Oferta Aceptada,2025-11-07 10:00:00
Ricardo Lozano,Oferta Aceptada,2025-11-07 11:00:00
Andrés Castro,Bienvenida Corporativa,2025-11-08 08:01:00
Mateo Romero,Verificación Documental,2025-11-08 12:00:00
Ricardo Lozano,Verificación Documental,2025-11-09 09:00:00
Elena Álvarez,Firma de Contrato,2025-11-09 16:00:00
Lucía Hernández,Verificación Documental,2025-11-10 11:30:00
Andrés Castro,Training de Puesto,2025-11-10 14:00:00
Sofía González,Oferta Aceptada,2025-11-11 08:45:00
Valentina Sánchez,Firma de Contrato,2025-11-11 15:00:00
Elena Álvarez,Solicitud IT (Cuentas/Hardware),2025-11-12 08:15:00
Diego López,Oferta Aceptada,2025-11-12 11:00:00
Mateo Romero,Firma de Contrato,2025-11-13 14:00:00
Valentina Sánchez,Solicitud IT (Cuentas/Hardware),2025-11-14 09:22:00
Javier Pérez,Verificación Documental,2025-11-14 16:45:00
Isabella Torres,Oferta Aceptada,2025-11-15 09:30:00
Nicolás Ruiz,Oferta Aceptada,2025-11-16 10:15:00
Lucía Hernández,Firma de Contrato,2025-11-17 12:00:00
Mateo Romero,Solicitud IT (Cuentas/Hardware),2025-11-18 08:30:00
Sofía González,Verificación Documental,2025-11-18 15:00:00
Camila Flores,Oferta Aceptada,2025-11-19 09:00:00
Elena Álvarez,Bienvenida Corporativa,2025-11-20 08:00:00
Valentina Sánchez,Bienvenida Corporativa,2025-11-20 08:00:00
Diego López,Verificación Documental,2025-11-20 11:30:00
Gabriel Jiménez,Oferta Aceptada,2025-11-21 14:00:00
Lucía Hernández,Solicitud IT (Cuentas/Hardware),2025-11-22 09:15:00
Elena Álvarez,Training de Puesto,2025-11-23 09:00:00
Valentina Sánchez,Training de Puesto,2025-11-23 09:00:00
Santiago Muñoz,Oferta Aceptada,2025-11-24 10:00:00
Isabella Torres,Verificación Documental,2025-11-24 16:00:00
Javier Pérez,Firma de Contrato,2025-11-25 11:00:00
Mateo Romero,Bienvenida Corporativa,2025-11-26 08:00:00
Martina Moreno,Oferta Aceptada,2025-11-26 13:30:00
Nicolás Ruiz,Verificación Documental,2025-11-27 10:45:00
Sofía González,Firma de Contrato,2025-11-28 14:00:00
Mateo Romero,Training de Puesto,2025-11-29 09:00:00
Sebastian Castillo,Oferta Aceptada,2025-11-29 15:20:00
Lucía Hernández,Bienvenida Corporativa,2025-12-01 08:00:00
Camila Flores,Verificación Documental,2025-12-01 11:30:00
Diego López,Firma de Contrato,2025-12-02 16:00:00
Isabella Torres,Firma de Contrato,2025-12-03 10:30:00
Gabriel Jiménez,Verificación Documental,2025-12-04 14:00:00
Santiago Muñoz,Verificación Documental,2025-12-05 09:45:00
Martina Moreno,Verificación Documental,2025-12-07 10:00:00
Nicolás Ruiz,Firma de Contrato,2025-12-08 11:30:00
Andrés Castro,Evaluación Mes 1,2025-12-10 17:00:00
Javier Pérez,Solicitud IT (Cuentas/Hardware),2025-12-12 10:00:00
Sofía González,Solicitud IT (Cuentas/Hardware),2025-12-18 08:15:00
Elena Álvarez,Evaluación Mes 1,2025-12-23 17:00:00
Valentina Sánchez,Evaluación Mes 1,2025-12-23 17:00:00
Mateo Romero,Evaluación Mes 1,2025-12-29 17:00:00
Andrés Castro,Finalizado,2026-01-05 09:00:00
Sofía González,Bienvenida Corporativa,2026-01-05 08:00:00
Nicolás Ruiz,Bienvenida Corporativa,2026-01-14 08:00:00
Felipe Correa,Verificación Documental,2026-01-15 11:00:00
Carlos Mendoza,Verificación Documental,2026-01-15 15:00:00
Lucía Torres,Solicitud IT (Cuentas/Hardware),2026-01-16 01:00:00
Felipe Correa,Solicitud IT (Cuentas/Hardware),2026-01-17 11:00:00
Carlos Mendoza,Firma de Contrato,2026-01-17 23:00:00
Carlos Mendoza,Solicitud IT (Cuentas/Hardware),2026-01-18 23:00:00
Lucía Torres,Bienvenida Corporativa,2026-01-19 09:00:00
Carlos Mendoza,Bienvenida Corporativa,2026-01-20 23:00:00
Lucía Torres,Training de Puesto,2026-01-21 09:00:00
Carlos Mendoza,Training de Puesto,2026-01-23 23:00:00
Lucía Torres,Renuncia,2026-01-24 09:00:00
Carlos Mendoza,Renuncia,2026-01-25 23:00:00
Andrés Ibáñez,Evaluación Mes 1,2026-02-12 18:00:00
Julián Paredes,Evaluación Mes 1,2026-02-12 21:00:00
Beatriz Soler,Evaluación Mes 1,2026-02-15 09:00:00
Andrés Ibáñez,Finalizado,2026-02-19 18:00:00
Julián Paredes,Finalizado,2026-02-19 21:00:00
Felipe Correa,Evaluación Mes 1,2026-02-20 11:00:00
Mariana Lagos,Evaluación Mes 1,2026-02-20 21:00:00
Beatriz Soler,Finalizado,2026-02-22 09:00:00
Sofía Valenzuela,Evaluación Mes 1,2026-02-23 06:00:00
Felipe Correa,Finalizado,2026-02-27 11:00:00
Valentina Rivas,Evaluación Mes 1,2026-02-27 13:00:00
Mariana Lagos,Finalizado,2026-02-27 21:00:00
Mateo Quintana,Evaluación Mes 1,2026-02-28 23:00:00
Sofía Valenzuela,Finalizado,2026-03-02 06:00:00
Valentina Rivas,Finalizado,2026-03-06 13:00:00
Mateo Quintana,Finalizado,2026-03-07 23:00:00
